,Equity,DrawdownPct,DrawdownDuration
2024-01-09 14:30:00+00:00,999996202.9217539,3.8911439350641785e-06,
2024-01-09 14:45:00+00:00,999996203.070289,3.890995399880026e-06,
2024-01-09 15:00:00+00:00,999996273.0715097,3.8209941858324825e-06,
2024-01-09 15:15:00+00:00,999996324.1921737,3.7698735265712102e-06,
2024-01-09 15:30:00+00:00,999996264.9281296,3.82913756524772e-06,
2024-01-09 15:45:00+00:00,999996227.9286178,3.866137073482712e-06,
2024-01-09 16:00:00+00:00,999996209.9385055,3.884127183995112e-06,
2024-01-09 16:15:00+00:00,999996268.928984,3.82513671104423e-06,
2024-01-09 16:30:00+00:00,999996238.4266647,3.8556390274946395e-06,
2024-01-09 16:45:00+00:00,999996326.9276413,3.767138059274089e-06,
2024-01-09 17:00:00+00:00,999996343.928984,3.7501367181613787e-06,
2024-01-09 17:15:00+00:00,999996332.9273971,3.7611383040259128e-06,
2024-01-09 17:30:00+00:00,999996338.927153,3.7551385486667144e-06,
2024-01-09 17:45:00+00:00,999996309.9262985,3.7841394004978213e-06,
2024-01-09 18:00:00+00:00,999996319.9269089,3.7741387910461555e-06,
2024-01-09 18:15:00+00:00,999996253.9265426,3.840139151112254e-06,
2024-01-09 18:30:00+00:00,999996236.9282516,3.857137440443914e-06,
2024-01-09 18:45:00+00:00,999996286.4277633,3.807637933395114e-06,
2024-01-09 19:00:00+00:00,999996278.9265426,3.8151391533736145e-06,
2024-01-09 19:15:00+00:00,999996219.9269089,3.8741387816676465e-06,
2024-01-09 19:30:00+00:00,999996142.9280075,3.951137675817229e-06,
2024-01-09 19:45:00+00:00,999996178.2978805,3.915767806117465e-06,
2024-01-09 20:00:00+00:00,999996164.9281296,3.929137555758189e-06,
2024-01-09 20:15:00+00:00,999996169.9269089,3.924138776922881e-06,
2024-01-09 20:30:00+00:00,999996173.9277633,3.920137922830413e-06,
2024-01-09 20:45:00+00:00,999996103.4231153,3.990642564288827e-06,
2024-01-10 14:30:00+00:00,999996017.0731152,4.076992556223402e-06,
2024-01-10 14:45:00+00:00,999995826.5538999,4.267511753641706e-06,
2024-01-10 15:00:00+00:00,999995624.806404,4.469259230588385e-06,
2024-01-10 15:15:00+00:00,999995544.7781569,4.549287470179131e-06,
2024-01-10 15:30:00+00:00,999995625.7779127,4.468287721937081e-06,
2024-01-10 15:45:00+00:00,999995651.7758375,4.442289799566623e-06,
2024-01-10 16:00:00+00:00,999995576.7758375,4.517289792449475e-06,
2024-01-10 16:15:00+00:00,999995615.7773024,4.478288331277724e-06,
2024-01-10 16:30:00+00:00,999995633.3157545,4.460749880808024e-06,
2024-01-10 16:45:00+00:00,999995610.2780348,4.483787598319466e-06,
2024-01-10 17:00:00+00:00,999995636.7764479,4.457289187742575e-06,
2024-01-10 17:15:00+00:00,999995646.7770582,4.447288578401931e-06,
2024-01-10 17:30:00+00:00,999995664.7763258,4.429289312435358e-06,
2024-01-10 17:45:00+00:00,999995653.2773024,4.440788334836299e-06,
2024-01-10 18:00:00+00:00,999995642.2757155,4.451789920700833e-06,
2024-01-10 18:15:00+00:00,999995663.778401,4.430287237178199e-06,
2024-01-10 18:30:00+00:00,999995637.2769362,4.4567886995361405e-06,
